"","C_1","C_2","S_1","S_2"
"GRIA1",2761.39387966745,3023.11167911621,6.74460094513174,7.54344043903606
"MED22",1525.71978387381,1583.15931044547,1342.17558808122,1345.74977432403
"ORMDL3",2093.89147422266,1894.53587191898,902.277726437623,903.70416459652
"SMC5",1226.40322905135,1683.01002214162,1441.09640194315,1443.8145000315
"ATG12",1525.71978387381,1642.28144237082,1307.70318325054,1316.33035661179
"ADNP2",1137.6677902323,1060.2568991946,1794.06385140504,1794.58448044668
"PPP1R7",1687.29774709656,1588.41461106106,1254.4957757945,1255.2284890556
"CDC14B",1880.66153915001,1798.62663568452,1055.90474796562,1049.29256506992
"MELK",541.683499656588,551.806564636596,2344.8729285908,2345.25563249631
"MORC2",1395.92764948177,1417.61734105449,1486.80980834904,1479.26867009497
"ACTL6A",684.719729394758,684.502905180158,2197.24110790292,2211.73673672537
"PHTF1",1505.85364085462,1483.30859874932,1384.14199396204,1397.79951335338
"XXYLT1",1720.40798546188,1436.01089320905,1312.19958388063,1301.99781977762
"MOV10",2074.02533120347,2099.49259592686,796.61231163056,799.604686537822
"PI4K2A",2251.49620884157,2308.39079539642,603.267084536783,606.492611298499
"SLC36A1",2402.47889578741,2389.84795493802,489.358268574558,487.30625236173
"SPATS2",1044.95912280941,1055.00159857901,1845.77245865105,1823.24955411502
"PHF12",1738.94971894646,1566.07958344481,1224.51977159392,1238.63292008972
"NDFIP2",1458.17489760857,1527.97865398181,1387.13959438209,1393.27344908996
"VPS26A",1054.2299895517,1154.85231027516,1776.07824888469,1780.25194361251
"PLEKHG4",1135.01897116307,1131.20345750502,1749.84924520918,1749.32383781246
"NT5C2",1696.56861383885,1899.79117253456,1082.13375164114,1086.25542322119
"SPCS1",1463.47253574702,1418.93116620839,1441.09640194315,1440.79712385589
"UBAC1",965.494550732648,810.630119954237,1990.40667891888,1997.50302825675
"SCARA3",2292.55290441456,2448.97008686337,513.339071935027,507.673541547127
"TCEAL8",2074.02533120347,1773.66395776049,953.986333683633,959.525623845387
"ZFC3H1",1503.2048217854,1651.4782184481,1301.70798241043,1302.75216382153
"EHD4",2293.87731394917,2140.22117569765,662.469692832939,660.051038415655
"SLC9A7",2603.78914504854,2567.21435071407,291.516640850694,293.439833078503
"TRIM14",2112.43320770723,2525.17194578937,559.801878445934,558.214592488668
"TPST1",1789.27728126174,1902.41882284236,1029.67574429011,1029.67961992842
"PKN2",1662.13396593892,1995.70040876902,1040.91674586533,1049.29256506992
"CTHRC1",1870.06626287311,2077.15756831061,899.280126017565,901.441132464809
"FAM193A",1614.45522269286,1568.70723375261,1294.21398136028,1269.56102588977
"ATE1",1215.80795277445,1432.06941774736,1543.76421633015,1554.70307448533
"NLN",1033.03943699789,1019.52831942381,1848.0206589661,1841.3538111687
"INO80",1942.90878727681,1997.01423392292,903.776526647653,896.160724157484
"GM2A",2124.35289351875,2412.18298255426,598.770683906695,603.475235122885
"UGGT2",1466.12135481624,1663.30264483317,1305.4549829355,1303.50650786543
"CHAF1A",455.596879906764,454.583503248243,2419.81293909226,2404.8488119647
"ZNF326",924.437855159655,994.565641499769,1902.72686663216,1909.99911916393
"TTI1",785.374854025323,756.763288644474,2096.07209372594,2091.0416897008
"STARD3NL",982.711874682613,936.757334728316,1901.97746652715,1906.98174298832
"NMD3",1500.55600271617,1476.73947297984,1377.3973930169,1373.66050394847
"ZNF320",815.836273321414,836.90662303217,2022.63088343451,2051.81579941781
"ENTPD6",1527.04419340843,1697.46209883448,1261.24037673963,1240.89595222143
"TRIM25",1901.85209170382,2174.38062969897,824.340115516101,825.252384030545
"RING1",1769.41113824255,1890.59439645729,1029.67574429011,1035.71437227965
"PSMD7",1319.11189647423,1102.29930411929,1656.92363218736,1642.96132762205
"ULK2",1697.89302337346,1707.97270006565,1152.57736151251,1156.40941930423
"ANK1",2499.16079181414,2376.70970339905,415.917058283124,421.678320542116
"BRI3",1757.49145243103,1957.59947930602,993.704539249409,1004.0319224357
"SEC24A",1903.17650123843,2077.15756831061,858.812520346774,871.267370708665
"ANKRD40",1293.94811531659,1266.52744835638,1569.99322000567,1579.59642793415
"MCC",1027.74179885944,998.507116961459,1842.02545812598,1841.3538111687
"ZNF3",801.267768440675,857.927825494516,2023.38028353952,2026.92244596899
"LARP6",2509.75606809104,2363.57145186008,415.167658178109,419.415288410405
"MEA1",1331.03158228575,1337.4740066668,1543.76421633015,1493.60120692914
"TBC1D13",1973.3702065729,2142.84882600545,795.11351142053,794.324278230497
"RBBP8",601.281928714159,810.630119954237,2144.78310055189,2146.10880490576
"PLAT",2439.56236275657,2496.26779240365,380.695253347436,384.715462390839
"ZNF445",1186.67094301297,1290.17630112652,1614.20782620153,1609.7701896903
"POLRMT",1003.90242723642,1014.27301880822,1833.0326568658,1848.14290756384
"EIF6",1223.75440998212,1279.66569989534,1601.46802441628,1590.1572445488
"AFAP1",2067.4032835304,1952.34417869043,849.819719086599,823.743695942738
"DCUN1D4",1365.46623018568,1401.85143920773,1454.58560383341,1467.19916539251
"AXIN1",1622.40167990054,1414.9896907467,1327.18758598092,1323.87379705083
"CCNB1IP1",1181.37330487452,1191.63941458427,1652.42723155728,1662.57427276355
"STX12",1881.98594868463,1857.74876760987,974.220136519029,973.858160679555
"DCAF1",1227.72763858596,1181.12881335309,1638.93802966701,1639.18960740254
"PDHB",1570.74970805065,1405.79291466942,1366.15639144168,1343.48674219232
"SMTN",2103.16234096494,2096.86494561906,755.395305854754,729.450690454787
"IGF2BP3",1112.50400907466,1039.23569673226,1767.83484772953,1765.16506273444
"HPS5",1990.58753052287,1949.71652838264,870.802922027009,868.249994533051
"MAP3K1",517.84412803356,505.822684250213,2326.88732607045,2327.90571948653
"VPS28",1834.30720543857,1692.20679821889,1078.38675111606,1073.43157447483
"AP3S1",2099.18911236111,1830.15843937804,873.800522447067,874.284746884279
"TMEM250",1149.58747604381,1824.90313876246,1350.41898923638,1349.52149454355
"SLC35C1",2406.45212439125,2429.26270955492,418.165258598168,418.660944366501
"CHST14",1823.71192916167,1820.96166330077,1014.68774218982,1011.57536287474
"GGA3",1284.6772485743,1395.28231343825,1499.54961013429,1490.58383075353
"PPP1R11",1435.65993552015,1650.1643932942,1293.46458125526,1290.68265911907
"POLR2G",982.711874682613,1010.33154334653,1835.28085718085,1840.5994671248
"CNTROB",1393.27883041255,1437.32471836294,1417.86499868769,1418.16680253878
"DAPK1",1162.83157138994,1065.51219981019,1715.3768403785,1722.16745223193
"TECPR1",1029.06620839406,999.820942115355,1821.79165529058,1814.95176963208
"KLHL42",1687.29774709656,1432.06941774736,1269.4837778948,1276.3501222849
"AR",2774.63797501358,2887.78768826485,0.749400105014637,1.50868808780721
"CCDC57",1303.21898205888,1298.0592520499,1529.52561433487,1530.56406508042
"NHP2",650.285081494829,583.338368330115,2191.2459070628,2233.61271399858
"QSOX2",802.592177975287,899.970230419209,2006.14408112418,1943.94460113959
"ALAD",2129.6505316572,2251.89631377887,630.994888422325,635.91202901074
"SELENOT",1740.27412848107,1830.15843937804,1037.16974534026,1040.24043654307
"CNTFR",1.32440953461269,1.31382515389666,2825.23839590518,2818.98369206778
"RFX5",1370.76386832413,1274.41039927976,1494.30380939919,1504.16202354379
"UTP25",1301.89457252427,1425.50029197787,1456.83380414846,1458.14703686567
"LDAH",786.699263559935,784.353616876304,2036.12008532477,2034.46588640803
"TMEM106B",942.979588644232,1131.20345750502,1782.82284982982,1782.51497574422
"DEF8",1711.13711871959,1593.66991167664,1162.3195628777,1168.47892400669
"UCHL5",369.510260156939,381.00929463003,2425.05873982737,2456.14420695014
"NPTX2",5.29763813845074,3.94147546168997,2812.49859411993,2805.40549927751
"DENND2B",2381.28834323361,2329.41199785877,456.384663953914,457.132490605585
"DHRS3",2971.97499567087,2567.21435071407,41.2170057758051,42.9976105025055
"MAPK8IP2",58.2740195229582,52.5530061558662,2763.78758729398,2748.07535194084
"ARAF",2026.34658795741,2062.70549161775,760.641106589857,771.693956913389
"SENP5",1609.15758455441,1541.11690552078,1229.01617222401,1236.36988795801
"CDC20",406.593727126094,365.24339278327,2415.31653846218,2425.21610115009
"DPP3",1315.1386678704,1185.07028881478,1555.75461801039,1555.45741852924
"PATL1",1883.31035821924,2222.99216039314,756.894106064784,746.80060346457
"MRTFA",2323.01432371065,2317.5875714737,489.358268574558,479.762811922693
"MRTFB",1634.32136571205,1602.86668775392,1185.55096613316,1183.56580488476
"GTPBP6",1349.57331577033,1313.82515389666,1468.82420582869,1473.98826178765
"CDK11B",1335.00481088959,1133.83110781281,1566.99561958561,1569.7899553634
"RNF146",1720.40798546188,1778.91925837607,1053.65654765058,1050.80125315772
"GATAD2B",1231.7008671898,1266.52744835638,1553.50641769534,1551.68569830972
"C16orf72",1586.642622466,1731.62155283579,1140.58695983228,1144.33991460177
"GRIK2",2060.78123585734,2079.78521861841,730.665102389271,731.713722586498
"DPYD",1737.62530941184,1851.17964184039,1001.19854029956,1010.82101883083
"MRPS26",478.111841995179,417.796398939137,2354.61512995599,2349.02735271583
"RIMS3",29.1370097614791,23.6488527701398,2758.54178655888,2788.05558626773
"SPAG7",1979.99225424596,1656.73351906368,983.962337884219,974.612504723459
"VANGL2",9.2708667422888,18.3935521545532,2791.51539117952,2772.21436134575
"SAV1",2074.02533120347,1999.64188423071,756.144705959769,761.133140298739
"GALNT11",1459.49930714318,1400.53761405384,1362.40939091661,1367.62575159724
"MAPKBP1",2030.31981656125,1975.99303146057,786.870110265369,796.587310362208
"POLR2D",564.198461745004,530.785362174249,2267.68471777429,2224.56058547173
"AOPEP",1805.17019567709,1679.06854667993,1051.40834733554,1051.55559720163
"FXR2",1072.77172303628,1006.39006788484,1740.856443949,1766.67375082225
"ERCC1",1699.21743290808,1715.85565098903,1100.8687542665,1067.3968221236
"CASP2",1015.82211304793,1118.06520596605,1725.1190417437,1722.16745223193
"OSBPL2",1692.59538523501,1753.95658045204,1067.14574954084,1067.3968221236
"POLD1",329.777974118559,398.089021630687,2431.05394066748,2417.67266071106
"SERTAD4",2021.04894981896,2165.18385362169,692.445697033525,697.013896566932
"MFSD14C",1131.04574255923,995.879466653665,1725.86844184871,1721.41310818803
"WWP2",1666.10719454276,1719.79712645072,1097.12175374143,1090.02714344071
"KAT2A",1429.03788784709,1555.56898221364,1288.21878052016,1299.73478764591
"ZNF623",1157.53393325149,1174.55968758361,1617.9548267266,1621.83969439275
