"","C_1","C_2","S_1","S_2"
"TNFSF4",248.801206151509,193.040934871214,40.3281912141219,39.0423793791785
"HK2-DT",62.5259575668713,64.7788372051054,194.0318633887,199.805117999325
"GTF2IP13",76.8548228426126,89.3947953430454,178.81367802488,176.073475631589
"GRID1",28.6577305514827,42.7540325553696,219.141869239002,230.42659202221
"IL1B",244.893333803579,275.957846493749,0,0
"PSMB9",231.867092643814,225.430353473767,31.9581892640211,31.3870108734572
"KIF3A",91.183688118354,62.1876837169012,180.335496561262,186.790991539599
"SYT3",7.81574469585891,6.47788372051054,250.339149234832,255.689308091091
"TMEM151A",7.81574469585891,5.18230697640843,254.904604843978,251.86162383823
"CLMP",138.078156293507,218.952469753256,81.4172916964348,81.1469061606455
"IWS1",102.907305162142,112.715176736883,151.420944370005,152.341833263853
"GDPD1",36.4734752473416,29.7982651143485,224.468234116339,228.129981470494
"GIN1",53.4075887550359,115.306330225088,172.726403879352,176.839012482162
"LRRC34",70.3417022627302,53.1186465081864,194.0318633887,200.570654849897
"CCDC33",37.7760993633181,33.6849953466548,223.707324848148,222.771223516489
"CPLANE2",135.472908061555,146.400172083538,116.41911803322,119.423748689252
"UBE2Q2P1",186.275248584637,186.563051150704,69.2427434053791,75.0226113560685
"ZNF485",32.5656028994121,34.9805720907569,226.750961920912,222.771223516489
"SFR1",71.6443263787067,84.212488366637,181.857315097644,179.135623033878
"ZNF721",70.3417022627302,73.8478744138202,184.900952170408,187.556528390171
"BBS12",139.380780409484,158.060362780457,109.570934619501,107.94069593067
"DOK6",28.6577305514827,12.9557674410211,238.164600943776,235.019813125643
"ZNF236-DT",161.525390381084,141.21786510713,105.005479010355,106.409622229526
"CPT2",115.933546321907,84.212488366637,152.181853638196,161.528275470719
"ELP4",91.183688118354,97.1682558076581,158.269127783724,166.887033424724
"MARCHF3",108.117801626048,126.966520922007,142.290033151713,135.500022551267
"FAM78A",50.8023405230829,45.3451860435738,208.489139484328,208.226023355619
"ZNF542P",160.222766265108,126.966520922007,111.092753155883,114.064990735247
"CPEB2",224.051347947956,244.864004635298,22.0663687775384,20.6694949654475
"REEP6",35.1708511313651,20.7292279056337,227.511871189103,228.129981470494
"LMNTD1",26.0524823195297,22.0248046497358,226.750961920912,236.550886826787
"H1-10-AS1",104.209929278119,123.0797906897,141.529123883522,142.389854206416
"H2BC5",65.1312057988243,50.5274930199822,205.445502411564,189.087602091316
"ZDHHC8P1",2.60524823195297,9.06903720871476,248.81733069845,249.565013286514
"LINC00486",37.7760993633181,31.0938418584506,95.1136585238724,346.022656458602
"FAM30A",0,0,252.621877039405,256.454844941663
"SLC16A14",33.8682270153886,28.5026883702464,222.946415579957,223.536760367061
"PPP1R16A",117.236170437884,111.419599992781,134.680940469803,145.452001608704
"TMEM121",75.5521987266362,101.054986039964,167.400039002015,164.590422873007
"SRGAP3",28.6577305514827,19.4336511615316,231.316417530058,228.895518321066
"TBC1D12",191.485745048543,159.355939524559,77.6127453554799,78.8502956089292
"IRAK2",224.051347947956,237.090544170686,22.8272780457294,22.9661055171638
"TSPAN11",42.986595827224,60.8921069727991,203.923683875182,199.039581148753
"ERO1B",145.893900989366,138.626711618926,113.375480960456,108.706232781242
"ZNF169",98.9994328142129,85.5080651107391,162.83458339287,159.231664919003
"NPW",46.8944681751535,80.3257581343307,187.944589243172,190.61867579246
"WNK4",182.367376236708,207.292279056337,60.8727414552783,55.1186532411932
"CEP68",95.0915604662835,97.1682558076581,154.464581442769,158.46612806843
"RPL7P9",126.354539249719,130.853251154313,112.614571692265,134.734485700695
"ADGRL3",0,1.29557674410211,251.860967771214,251.096086987658
"PLEKHF1",166.73588684499,196.92766510352,69.2427434053791,71.1949271032079
"CCDC170",212.327730904167,291.504767422974,0,0
"NCALD",36.4734752473416,22.0248046497358,220.663687775384,224.302297217633
"ADAMTS17",2.60524823195297,9.06903720871476,248.056421430259,243.440718481937
"SYNGR3",74.2495746106597,64.7788372051054,182.618224365835,181.432233585594
"ZCWPW1",136.775532177531,159.355939524559,102.722751205782,104.113011677809
"SPAG1",102.907305162142,102.350562784067,149.138216565432,148.514149010993
"LRRC56",199.301489744402,202.109972079929,47.1763746278407,53.5875795400489
"BCL6",256.616950847368,233.203813938379,6.08727414552783,6.12429480457702
"A4GALT",237.07758910772,248.750734867605,7.60909268190979,8.42090535629341
"UBAP1L",136.775532177531,150.286902315845,107.288206814928,107.175159080098
"SORBS2",42.986595827224,45.3451860435738,206.967320947946,205.929412803902
"TEKT4P2",50.8023405230829,33.6849953466548,207.728230216137,208.991560206191
"FBXO36",145.893900989366,107.532869760475,122.506392178748,124.782506643257
"ZNF66",29.9603546674592,31.0938418584506,221.424597043575,218.178002413056
"HSPA1B",181.064752120731,164.538246500968,82.9391102328167,71.96046395378
"RAB3IP",20.8419858556238,24.6159581379401,226.750961920912,228.129981470494
"GLUD1P3",126.354539249719,150.286902315845,110.331843887692,113.299453884675
"LINC02762",214.93297913612,189.154204638908,47.1763746278407,48.2288215860441
"IQCK",125.051915133743,164.538246500968,107.288206814928,102.581937976665
"CHRNA5",1.30262411597649,12.9557674410211,243.490965821113,241.14410793022
"AMN1",98.9994328142129,64.7788372051054,171.965494611161,163.059349171863
"TM4SF1",173.249007424873,176.198437197887,74.5691082827159,74.2570745054964
"ZNF718",207.117234440261,216.361316265052,38.8063726777399,35.98023197689
"ZYG11A",61.2233334508948,63.4832604610033,185.661861438599,187.556528390171
"PKP2",0,0,248.81733069845,248.799476435942
"EXO5",98.9994328142129,89.3947953430454,150.660035101814,158.46612806843
"GPSM3",175.854255656826,255.228618588115,33.4800078004031,32.9180845746015
"LENG9",214.93297913612,243.568427891196,19.0227317047745,19.9039581148753
"SH3TC1",83.3679434224951,102.350562784067,155.986399979151,154.63844381557
"CLDN1",247.498582035532,248.750734867605,0,0
"PIGB",191.485745048543,152.878055804049,76.0909268190979,75.7881482066407
"MPPED2",0,0,248.056421430259,248.033939585369
"ZNF888",141.986028641437,108.828446504577,122.506392178748,122.48589609154
"HBEGF",104.209929278119,88.0992185989433,151.420944370005,151.576296413281
"N4BP2L1",102.907305162142,119.193060457394,135.441849737994,137.031096252411
"SCAMP1-AS1",100.302056930189,85.5080651107391,152.942762906387,155.403980666142
"TAF11",83.3679434224951,91.9859488312497,150.660035101814,167.652570275296
"ZNF808",63.8285816828478,138.626711618926,146.094579492668,144.686464758132
"ATP23",76.8548228426126,88.0992185989433,162.073674124679,166.121496574152
"DOC2A",29.9603546674592,15.5469209292253,221.424597043575,225.833370918778
"LINC02604",135.472908061555,117.897483713292,121.745482910557,117.127138137536
"DOK3",66.4338299148008,75.1434511579223,178.052768756689,172.245791378729
"LINC00327",248.801206151509,190.44978138301,26.6318243866843,25.2627160688802
"ZCCHC12",0,0,244.251875089304,246.502865884225
"B4GALNT3",0,6.47788372051054,241.969147284731,241.909644780792
"LRP1B",59.9207093349183,67.3699906933096,182.618224365835,179.90115988445
"REEP1",0,1.29557674410211,244.251875089304,244.206255332509
"APOBEC3G",214.93297913612,273.366693005545,0,0
