"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC02139",1.30239091431231,1.2900928795611,26.0105159049509,25.3658693557769,13.4922172636503,4.30871826023763,1.35178681253787,3.1874243928659,0.00143545981635889,0.00246186504302124
"LINC02151",0,0,31.365622120676,31.5151710177834,15.7201982846149,7.04289847066436,1.67507693809915,4.20452237773419,2.61634053750382e-05,5.17780560346828e-05
"LINC02154",9.11673640018618,2.58018575912219,78.0315477148526,76.8662707750814,41.6486851623106,3.72953296473414,0.715027483390559,5.21592952909897,1.82897705879192e-07,4.16287139728248e-07
"LINC02210-CRHR1",0,1.2900928795611,166.008292687481,167.568470289678,83.7167139641798,8.00764629939955,1.48718547850067,5.38443013004175,7.2674526596267e-08,1.6859775436566e-07
"LINC02236",1.30239091431231,5.16037151824439,186.663702376706,179.09841090594,93.0562189288007,5.81904308281483,0.734679362381717,7.92052067986557,2.36518033990475e-15,7.67926264441642e-15
"LINC02241",0,0,16.0653186471755,15.3732541550163,7.85964320054796,6.04281800300172,1.88273186566919,3.20960095974892,0.00132919358332269,0.00228700474310126
"LINC02245",26.0478182862462,14.1910216751721,87.2117297989529,93.0081876378486,55.1146893495549,2.16390174655405,0.524163888697479,4.12829230172883,3.65467345951701e-05,7.15515550852298e-05
"LINC02249",0,0,34.4256828153761,36.1271472642883,17.6382075199161,7.20897814189641,1.65123035859193,4.36582219094117,1.26645472904777e-05,2.56614973969784e-05
"LINC02268",0,0,721.409308775549,727.15492153227,362.141057576955,11.5687545718416,1.45424463305122,7.95516401361488,1.78894360507724e-15,5.84296503627535e-15
"LINC02269",0,0,239.449749360283,239.054102110503,119.625962867697,9.97073710934193,1.47558902454806,6.7571233883335,1.40758315030736e-11,3.92036605851431e-11
"LINC02270",0,0,16.8303338208506,16.9105795705179,8.43522834784212,6.14477605686808,1.85558148940138,3.3115096760587,0.000927940308370196,0.00161659023462503
"LINC02315",0,0,51.2560166362267,50.7317387115538,25.4969388369451,7.74060534054293,1.58941034576194,4.87011133479956,1.11535385821689e-06,2.43048113009438e-06
"LINC02440",0,0,32.1306372943511,35.3584845565375,16.8722804627221,7.14492360178022,1.660404051936,4.30312344362769,1.68406956528162e-05,3.3812788150778e-05
